SMILES;organic;organic_modifier;additive;additive_concentration_mM;name;logIE;instrument;source;logIE_pred;viscosity_old;surface_tension_old;polarity_index_old;pH.aq.;NH4
Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O;20;MeCN;ammonia;41;2,5-dinitrophenol;1.45;Agilent XCT;ESI;1.280959643;0.93;42.11062016;9.32;10.5;1
Oc1cccc(Cl)c1;20;MeCN;ammonia;41;3-chlorophenol;0.36;Agilent XCT;ESI;0.114615008;0.93;42.11062016;9.32;10.5;1
CC(C)c1ccccc1O;20;MeCN;ammonia;41;2-isopropylphenol;-0.17;Agilent XCT;ESI;-0.376520736;0.93;42.11062016;9.32;10.5;1
Oc1cccc(Br)c1;20;MeCN;ammonia;41;3-bromophenol;0.8;Agilent XCT;ESI;0.608041861;0.93;42.11062016;9.32;10.5;1
Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O;20;MeCN;ammonia;41;2,6-dinitrophenol;1.51;Agilent XCT;ESI;1.274165714;0.93;42.11062016;9.32;10.5;1
Oc1ccccc1[N+]([O-])=O;20;MeCN;ammonia;41;2-nitrophenol;-0.37;Agilent XCT;ESI;-0.725150384;0.93;42.11062016;9.32;10.5;1
Oc1cccc(c1)[N+]([O-])=O;20;MeCN;ammonia;41;3-nitrophenol;1.01;Agilent XCT;ESI;0.863176322;0.93;42.11062016;9.32;10.5;1
Oc1ccc(cc1)[N+]([O-])=O;20;MeCN;ammonia;41;4-nitrophenol;1.48;Agilent XCT;ESI;1.057608777;0.93;42.11062016;9.32;10.5;1
Oc1c(F)c(F)cc(F)c1F;20;MeCN;ammonia;41;2,3,5,6-tetrafluorophenol;1.7;Agilent XCT;ESI;0.906835159;0.93;42.11062016;9.32;10.5;1
OC(C1=CC=CC(S(=O)(C(F)(C(F)(C(F)(F)F)F)F)=O)=C1)=O;20;MeCN;ammonia;41;3-[(heptafluoropropyl)sulphonyl]benzoic acid;2.78;Agilent XCT;ESI;2.257393963;0.93;42.11062016;9.32;10.5;1
OC(C1=CC=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=C1)=O;20;MeCN;ammonia;41;3-[tris(trifluoromethyl)methylsulphonyl]benzoic acid;2.63;Agilent XCT;ESI;2.151953939;0.93;42.11062016;9.32;10.5;1
OC(C1=CC=CC(SC(F)(C(F)(C(F)(F)F)F)F)=C1)=O;20;MeCN;ammonia;41;3-[(heptafluoropropyl)sulphanyl]benzoic acid;2.52;Agilent XCT;ESI;1.999646313;0.93;42.11062016;9.32;10.5;1
OC(=O)c1cccc(c1)[S](=O)(=O)C(F)(F)F;20;MeCN;ammonia;41;3-trifluoromethylsulfonylbenzoic acid;2.05;Agilent XCT;ESI;1.648138333;0.93;42.11062016;9.32;10.5;1
FC(F)(F)C(c1cccc(c1)C(=O)O)(C(F)(F)F)C(F)(F)F;20;MeCN;ammonia;41;3-[tris(trifluoromethyl)methyl]benzoic acid;2.75;Agilent XCT;ESI;1.704644762;0.93;42.11062016;9.32;10.5;1
OC(C1=CC=CC(SC(F)(F)F)=C1)=O;20;MeCN;ammonia;41;3-[(trifluoromethyl)sulphanyl]benzoic acid;1.43;Agilent XCT;ESI;1.222594103;0.93;42.11062016;9.32;10.5;1
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl;20;MeCN;ammonia;41;pentachlorophenol;2.58;Agilent XCT;ESI;2.164474924;0.93;42.11062016;9.32;10.5;1
O=S(C1=C(O)C(S(=O)(OCC(F)(F)F)=O)=CC(S(=O)(OCC(F)(F)F)=O)=C1)(OCC(F)(F)F)=O;20;MeCN;ammonia;41;2-hydroxy-1,3,5-tris(2,2,2-trifluoroethyl)-1,3,5-benzenetrisulfonic acid ester;4.05;Agilent XCT;ESI;3.804929095;0.93;42.11062016;9.32;10.5;1
OC(=O)c1ccccc1O;20;MeCN;ammonia;41;salicylic acid;0.72;Agilent XCT;ESI;0.726605996;0.93;42.11062016;9.32;10.5;1
Oc1ccccc1C#N;20;MeCN;ammonia;41;2-cyanophenol;0.76;Agilent XCT;ESI;0.561193239;0.93;42.11062016;9.32;10.5;1
Oc1ccccc1N=Nc2cc(ccc2O)c3ccccc3;20;MeCN;ammonia;41;4-phenylazophenol;1.27;Agilent XCT;ESI;1.279325238;0.93;42.11062016;9.32;10.5;1
OC(=O)c1cc(I)cc(I)c1O;20;MeCN;ammonia;41;3,5-diiodosalicylic acid;2.14;Agilent XCT;ESI;1.678611752;0.93;42.11062016;9.32;10.5;1
Oc1c(cc(c(O)c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O;20;MeCN;ammonia;41;2,4,6-trinitro-1,3-benzenediol;1.77;Agilent XCT;ESI;1.699049755;0.93;42.11062016;9.32;10.5;1
OC(=O)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O;20;MeCN;ammonia;41;3,5-dinitrosalicylic acid;1.67;Agilent XCT;ESI;1.589591429;0.93;42.11062016;9.32;10.5;1
OC(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O;20;MeCN;ammonia;41;2,4-dinitrobenzoic acid;0.06;Agilent XCT;ESI;-0.016445714;0.93;42.11062016;9.32;10.5;1
Oc1ccc(Cl)cc1;20;MeCN;ammonia;41;4-chlorophenol;0.26;Agilent XCT;ESI;0.127323745;0.93;42.11062016;9.32;10.5;1
O=S(C1=C(O)C(S(=O)(OCC(F)(C(F)F)F)=O)=CC(S(=O)(OCC(F)(C(F)F)F)=O)=C1)(OCC(F)(C(F)F)F)=O;20;MeCN;ammonia;41;2-hydroxy-, 1,3,5-tris(2,2,3,3-tetrafluoro-propyl) 1,3,5-benzenetrisulfonic acid ester;3.09;Agilent XCT;ESI;3.37076953;0.93;42.11062016;9.32;10.5;1
FC1=C(O)C(F)=C(F)C2=C(F)C(F)=C(F)C(F)=C21;20;MeCN;ammonia;41;heptafluorornapht-2-ol;1.71;Agilent XCT;ESI;1.531898333;0.93;42.11062016;9.32;10.5;1
O[S](=O)(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O;20;MeCN;ammonia;41;2,4-dinitro-benzenesulfonic acid;1.46;Agilent XCT;ESI;1.26951373;0.93;42.11062016;9.32;10.5;1
O=S(C1=CC=CC2=CC=CC=C21)(O)=O;20;MeCN;ammonia;41;naphthalene-1-sulfonic acid;1.46;Agilent XCT;ESI;1.319885;0.93;42.11062016;9.32;10.5;1
O[S](=O)(=O)c1ccc2C(=O)c3ccccc3C(=O)c2c1;20;MeCN;ammonia;41;2-anthraquinonesulfonic acid;1.97;Agilent XCT;ESI;1.690185346;0.93;42.11062016;9.32;10.5;1
N[S](=O)(=O)c1cccc(c1)[N+]([O-])=O;20;MeCN;ammonia;41;3-nitrobenzenesulphonamide;1.17;Agilent XCT;ESI;1.089102778;0.93;42.11062016;9.32;10.5;1
O=S(O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)=O;20;MeCN;ammonia;41;perfluorooctanesulfonic acid;2.56;Agilent XCT;ESI;2.4099514;0.93;42.11062016;9.32;10.5;1
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F;20;MeCN;ammonia;41;perfluoro-tert-butanol;1.48;Agilent XCT;ESI;0.957904239;0.93;42.11062016;9.32;10.5;1
CCCCCCCCCCCCCC(O)=O;20;MeCN;ammonia;41;myristic acid;1.83;Agilent XCT;ESI;1.363853571;0.93;42.11062016;9.32;10.5;1
FC1=C(S(NS(C2=C(F)C(F)=C(F)C(F)=C2F)(=O)=O)(=O)=O)C(F)=C(F)C(F)=C1F;20;MeCN;ammonia;41;2,3,4,5,6-pentafluoro-N-[(2,3,4,5,6-pentafluorophenyl)sulfonyl]-benzenesulfonamide;1.96;Agilent XCT;ESI;2.03482;0.93;42.11062016;9.32;10.5;1
O=S(NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)(C2=CC=C(C)C=C2)=O;20;MeCN;ammonia;41;4-methyl-N-[(4-nitrophenyl)sulfonyl]-benzenesulfonamide;2.31;Agilent XCT;ESI;2.012644502;0.93;42.11062016;9.32;10.5;1
C/C=C/C=C/C(O)=O;20;MeCN;ammonia;41;sorbic acid;-0.55;Agilent XCT;ESI;-0.305552493;0.93;42.11062016;9.32;10.5;1
ON1C(=O)c2ccccc2C1=O;20;MeCN;ammonia;41;N-hydroxy-phthalimide;-0.67;Agilent XCT;ESI;-0.695814545;0.93;42.11062016;9.32;10.5;1
NCCCC(O)=O;20;MeCN;ammonia;41;4-aminobutanoic acid;-1.57;Agilent XCT;ESI;-1.522398452;0.93;42.11062016;9.32;10.5;1
NCCC(O)=O;20;MeCN;ammonia;41;beta-alanine;-2.32;Agilent XCT;ESI;-2.189905714;0.93;42.11062016;9.32;10.5;1
OC(=O)c1ccccc1;50;MeCN;ammonia;26;benzoic acid;0.07;Agilent XCT;ESI;0.214684142;0.84;30.026945;8;10.5;1
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O;50;MeCN;ammonia;26;3,5-dinitrobenzoic acid;0.62;Agilent XCT;ESI;1.064208384;0.84;30.026945;8;10.5;1
OC(=O)c1cccc(c1)C(F)(F)F;50;MeCN;ammonia;26;3-trifluoromethylbenzoic acid;1.37;Agilent XCT;ESI;1.341672262;0.84;30.026945;8;10.5;1
Oc1c(F)c(F)c(F)c(F)c1F;50;MeCN;ammonia;26;pentafluorophenol;1.41;Agilent XCT;ESI;1.373855;0.84;30.026945;8;10.5;1
CC(C)(C)c1ccc(cc1)C(O)=O;50;MeCN;ammonia;26;4-tert-butylbenzoic acid;1.46;Agilent XCT;ESI;1.216503098;0.84;30.026945;8;10.5;1
Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F;50;MeCN;ammonia;26;4-(pentafluorophenyl)-2,3,5,6-tetrafluorophenol;2.66;Agilent XCT;ESI;2.375080812;0.84;30.026945;8;10.5;1
Oc1c(c(c(c(c1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F;50;MeCN;ammonia;26;pentakis(trifluoromethyl)phenol;3.06;Agilent XCT;ESI;2.788461432;0.84;30.026945;8;10.5;1
Oc1ccc(cc1)c2ccccc2;50;MeCN;ammonia;26;4-phenylphenol;0.95;Agilent XCT;ESI;0.673258538;0.84;30.026945;8;10.5;1
Oc1ccccc1c2ccccc2;50;MeCN;ammonia;26;2-phenylphenol;0.63;Agilent XCT;ESI;0.507281667;0.84;30.026945;8;10.5;1
OC(=O)c1cccc(Cl)c1;50;MeCN;ammonia;26;3-chlorobenzoic acid;0.85;Agilent XCT;ESI;0.710060873;0.84;30.026945;8;10.5;1
Nc1ccc(cc1)C(O)=O;50;MeCN;ammonia;26;4-aminobenzoic acid;0.04;Agilent XCT;ESI;-0.04790614;0.84;30.026945;8;10.5;1
OC(=O)c1ccc(O)cc1;50;MeCN;ammonia;26;4-hydroxybenzoic acid;0.23;Agilent XCT;ESI;0.22711809;0.84;30.026945;8;10.5;1
Nc1cccc(c1)C(O)=O;50;MeCN;ammonia;26;3-aminobenzoic acid;0.17;Agilent XCT;ESI;0.07255;0.84;30.026945;8;10.5;1
OC(=O)c1c(F)c(F)c(F)c(F)c1F;50;MeCN;ammonia;26;pentafluorobenzoic acid;1.28;Agilent XCT;ESI;1.235970586;0.84;30.026945;8;10.5;1
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O;50;MeCN;ammonia;26;2,4-dinitrophenol;1.47;Agilent XCT;ESI;1.420869067;0.84;30.026945;8;10.5;1
CN(C)c1cccc(c1)C(O)=O;50;MeCN;ammonia;26;3-dimethylaminobenzoic acid;1.13;Agilent XCT;ESI;0.86331199;0.84;30.026945;8;10.5;1
CC(C)c1ccc(cc1)C(O)=O;50;MeCN;ammonia;26;4-isopropylbenzoic acid;0.62;Agilent XCT;ESI;0.416769444;0.84;30.026945;8;10.5;1
CC(C)(C)c1ccccc1O;50;MeCN;ammonia;26;2-tert-butylphenol;0.03;Agilent XCT;ESI;-0.086866052;0.84;30.026945;8;10.5;1
CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C;50;MeCN;ammonia;26;2,4,6-tri-tert-butylphenol;0.73;Agilent XCT;ESI;0.646440794;0.84;30.026945;8;10.5;1
Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O;50;MeCN;ammonia;26;2,5-dinitrophenol;1.37;Agilent XCT;ESI;1.292238532;0.84;30.026945;8;10.5;1
Oc1cccc(Cl)c1;50;MeCN;ammonia;26;3-chlorophenol;0.27;Agilent XCT;ESI;0.321264293;0.84;30.026945;8;10.5;1
CC(C)c1ccccc1O;50;MeCN;ammonia;26;2-isopropylphenol;-0.08;Agilent XCT;ESI;-0.17815526;0.84;30.026945;8;10.5;1
Oc1cccc(Br)c1;50;MeCN;ammonia;26;3-bromophenol;0.72;Agilent XCT;ESI;0.757539917;0.84;30.026945;8;10.5;1
Oc1ccccc1Br;50;MeCN;ammonia;26;2-bromophenol;-0.98;Agilent XCT;ESI;-0.822119563;0.84;30.026945;8;10.5;1
Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O;50;MeCN;ammonia;26;2,6-dinitrophenol;1.38;Agilent XCT;ESI;1.317327222;0.84;30.026945;8;10.5;1
Oc1ccccc1[N+]([O-])=O;50;MeCN;ammonia;26;2-nitrophenol;-0.71;Agilent XCT;ESI;-0.758742447;0.84;30.026945;8;10.5;1
Oc1cccc(c1)[N+]([O-])=O;50;MeCN;ammonia;26;3-nitrophenol;1.07;Agilent XCT;ESI;0.973159015;0.84;30.026945;8;10.5;1
Oc1ccc(cc1)[N+]([O-])=O;50;MeCN;ammonia;26;4-nitrophenol;1.1;Agilent XCT;ESI;1.086238172;0.84;30.026945;8;10.5;1
Oc1c(F)c(F)cc(F)c1F;50;MeCN;ammonia;26;2,3,5,6-tetrafluorophenol;1.48;Agilent XCT;ESI;1.212153254;0.84;30.026945;8;10.5;1
OC(C1=CC=CC(S(=O)(C(F)(C(F)(C(F)(F)F)F)F)=O)=C1)=O;50;MeCN;ammonia;26;3-[(heptafluoropropyl)sulphonyl]benzoic acid;2.4;Agilent XCT;ESI;2.345162844;0.84;30.026945;8;10.5;1
OC(C1=CC=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=C1)=O;50;MeCN;ammonia;26;3-[tris(trifluoromethyl)methylsulphonyl]benzoic acid;2.38;Agilent XCT;ESI;2.257928939;0.84;30.026945;8;10.5;1
OC(C1=CC=CC(SC(F)(C(F)(C(F)(F)F)F)F)=C1)=O;50;MeCN;ammonia;26;3-[(heptafluoropropyl)sulphanyl]benzoic acid;2.03;Agilent XCT;ESI;1.97370544;0.84;30.026945;8;10.5;1
OC(=O)c1cccc(c1)[S](=O)(=O)C(F)(F)F;50;MeCN;ammonia;26;3-trifluoromethylsulfonylbenzoic acid;1.81;Agilent XCT;ESI;1.811199167;0.84;30.026945;8;10.5;1
FC(F)(F)C(c1cccc(c1)C(=O)O)(C(F)(F)F)C(F)(F)F;50;MeCN;ammonia;26;3-[tris(trifluoromethyl)methyl]benzoic acid;2.45;Agilent XCT;ESI;2.240193889;0.84;30.026945;8;10.5;1
OC(C1=CC=CC(SC(F)(F)F)=C1)=O;50;MeCN;ammonia;26;3-[(trifluoromethyl)sulphanyl]benzoic acid;1.12;Agilent XCT;ESI;1.187619381;0.84;30.026945;8;10.5;1
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl;50;MeCN;ammonia;26;pentachlorophenol;2.35;Agilent XCT;ESI;2.269479962;0.84;30.026945;8;10.5;1
O=S(C1=C(O)C(S(=O)(OCC(F)(F)F)=O)=CC(S(=O)(OCC(F)(F)F)=O)=C1)(OCC(F)(F)F)=O;50;MeCN;ammonia;26;2-hydroxy-1,3,5-tris(2,2,2-trifluoroethyl)-1,3,5-benzenetrisulfonic acid ester;3.98;Agilent XCT;ESI;3.850563709;0.84;30.026945;8;10.5;1
OC(=O)c1ccccc1O;50;MeCN;ammonia;26;salicylic acid;0.64;Agilent XCT;ESI;0.741658445;0.84;30.026945;8;10.5;1
Oc1ccccc1C#N;50;MeCN;ammonia;26;2-cyanophenol;0.83;Agilent XCT;ESI;0.553416698;0.84;30.026945;8;10.5;1
Oc1ccccc1N=Nc2cc(ccc2O)c3ccccc3;50;MeCN;ammonia;26;4-phenylazophenol;1.66;Agilent XCT;ESI;1.533287857;0.84;30.026945;8;10.5;1
OC(=O)c1cc(I)cc(I)c1O;50;MeCN;ammonia;26;3,5-diiodosalicylic acid;2.28;Agilent XCT;ESI;2.080124384;0.84;30.026945;8;10.5;1
Oc1c(cc(c(O)c1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O;50;MeCN;ammonia;26;2,4,6-trinitro-1,3-benzenediol;1.85;Agilent XCT;ESI;1.878503979;0.84;30.026945;8;10.5;1
OC(=O)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O;50;MeCN;ammonia;26;3,5-dinitrosalicylic acid;1.76;Agilent XCT;ESI;1.80357123;0.84;30.026945;8;10.5;1
OC(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O;50;MeCN;ammonia;26;2,4-dinitrobenzoic acid;0.4;Agilent XCT;ESI;0.381315;0.84;30.026945;8;10.5;1
Oc1ccc(Cl)cc1;50;MeCN;ammonia;26;4-chlorophenol;0.46;Agilent XCT;ESI;0.361745693;0.84;30.026945;8;10.5;1
O=S(C1=C(O)C(S(=O)(OCC(F)(C(F)F)F)=O)=CC(S(=O)(OCC(F)(C(F)F)F)=O)=C1)(OCC(F)(C(F)F)F)=O;50;MeCN;ammonia;26;2-hydroxy-, 1,3,5-tris(2,2,3,3-tetrafluoro-propyl) 1,3,5-benzenetrisulfonic acid ester;3.84;Agilent XCT;ESI;3.607116464;0.84;30.026945;8;10.5;1
FC1=C(O)C(F)=C(F)C2=C(F)C(F)=C(F)C(F)=C21;50;MeCN;ammonia;26;heptafluorornapht-2-ol;1.9;Agilent XCT;ESI;1.817662273;0.84;30.026945;8;10.5;1
O[S](=O)(=O)c1ccc(cc1[N+]([O-])=O)[N+]([O-])=O;50;MeCN;ammonia;26;2,4-dinitro-benzenesulfonic acid;1.87;Agilent XCT;ESI;1.740847143;0.84;30.026945;8;10.5;1
O=S(C1=CC=CC2=CC=CC=C21)(O)=O;50;MeCN;ammonia;26;naphthalene-1-sulfonic acid;1.77;Agilent XCT;ESI;1.614172857;0.84;30.026945;8;10.5;1
O[S](=O)(=O)c1ccc2C(=O)c3ccccc3C(=O)c2c1;50;MeCN;ammonia;26;2-anthraquinonesulfonic acid;2.31;Agilent XCT;ESI;2.166140833;0.84;30.026945;8;10.5;1
N[S](=O)(=O)c1cccc(c1)[N+]([O-])=O;50;MeCN;ammonia;26;3-nitrobenzenesulphonamide;1.48;Agilent XCT;ESI;1.370155079;0.84;30.026945;8;10.5;1
O=S(O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)=O;50;MeCN;ammonia;26;perfluorooctanesulfonic acid;3.06;Agilent XCT;ESI;2.848684574;0.84;30.026945;8;10.5;1
OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F;50;MeCN;ammonia;26;perfluoro-tert-butanol;1.72;Agilent XCT;ESI;1.332681959;0.84;30.026945;8;10.5;1
CCCCCCCCCCCCCC(O)=O;50;MeCN;ammonia;26;myristic acid;2.01;Agilent XCT;ESI;1.816092532;0.84;30.026945;8;10.5;1
FC1=C(S(NS(C2=C(F)C(F)=C(F)C(F)=C2F)(=O)=O)(=O)=O)C(F)=C(F)C(F)=C1F;50;MeCN;ammonia;26;2,3,4,5,6-pentafluoro-N-[(2,3,4,5,6-pentafluorophenyl)sulfonyl]-benzenesulfonamide;2.44;Agilent XCT;ESI;2.372629405;0.84;30.026945;8;10.5;1
O=S(NS(C1=CC=C([N+]([O-])=O)C=C1)(=O)=O)(C2=CC=C(C)C=C2)=O;50;MeCN;ammonia;26;4-methyl-N-[(4-nitrophenyl)sulfonyl]-benzenesulfonamide;2.5;Agilent XCT;ESI;2.458824502;0.84;30.026945;8;10.5;1
C/C=C/C=C/C(O)=O;50;MeCN;ammonia;26;sorbic acid;-0.29;Agilent XCT;ESI;-0.090016139;0.84;30.026945;8;10.5;1
ON1C(=O)c2ccccc2C1=O;50;MeCN;ammonia;26;N-hydroxy-phthalimide;-0.23;Agilent XCT;ESI;-0.113855379;0.84;30.026945;8;10.5;1
NCCCC(O)=O;50;MeCN;ammonia;26;4-aminobutanoic acid;-1.46;Agilent XCT;ESI;-1.534218452;0.84;30.026945;8;10.5;1
OC(=O)c1ccccc1;80;MeCN;ammonia;10;benzoic acid;0;Agilent XCT;ESI;0.036083291;0.57;32.18706944;6.68;10.5;1
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O;80;MeCN;ammonia;10;3,5-dinitrobenzoic acid;0.79;Agilent XCT;ESI;1.233321876;0.57;32.18706944;6.68;10.5;1
OC(=O)c1cccc(c1)C(F)(F)F;80;MeCN;ammonia;10;3-trifluoromethylbenzoic acid;1.16;Agilent XCT;ESI;1.3324275;0.57;32.18706944;6.68;10.5;1
Oc1c(F)c(F)c(F)c(F)c1F;80;MeCN;ammonia;10;pentafluorophenol;0.91;Agilent XCT;ESI;1.2635425;0.57;32.18706944;6.68;10.5;1
CC(C)(C)c1ccc(cc1)C(O)=O;80;MeCN;ammonia;10;4-tert-butylbenzoic acid;1.2;Agilent XCT;ESI;1.072487106;0.57;32.18706944;6.68;10.5;1
Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F;80;MeCN;ammonia;10;4-(pentafluorophenyl)-2,3,5,6-tetrafluorophenol;2.17;Agilent XCT;ESI;2.297985278;0.57;32.18706944;6.68;10.5;1
Oc1c(c(c(c(c1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F;80;MeCN;ammonia;10;pentakis(trifluoromethyl)phenol;2.3;Agilent XCT;ESI;2.707521749;0.57;32.18706944;6.68;10.5;1
Oc1ccc(cc1)c2ccccc2;80;MeCN;ammonia;10;4-phenylphenol;0.35;Agilent XCT;ESI;0.387638234;0.57;32.18706944;6.68;10.5;1
Oc1ccccc1c2ccccc2;80;MeCN;ammonia;10;2-phenylphenol;-0.01;Agilent XCT;ESI;0.174726241;0.57;32.18706944;6.68;10.5;1
OC(=O)c1cccc(Cl)c1;80;MeCN;ammonia;10;3-chlorobenzoic acid;0.48;Agilent XCT;ESI;0.5324646;0.57;32.18706944;6.68;10.5;1
Nc1ccc(cc1)C(O)=O;80;MeCN;ammonia;10;4-aminobenzoic acid;-0.06;Agilent XCT;ESI;-0.300216973;0.57;32.18706944;6.68;10.5;1
OC(=O)c1ccc(O)cc1;80;MeCN;ammonia;10;4-hydroxybenzoic acid;0.13;Agilent XCT;ESI;0.091665077;0.57;32.18706944;6.68;10.5;1
Nc1cccc(c1)C(O)=O;80;MeCN;ammonia;10;3-aminobenzoic acid;0.09;Agilent XCT;ESI;-0.112145029;0.57;32.18706944;6.68;10.5;1
OC(=O)c1c(F)c(F)c(F)c(F)c1F;80;MeCN;ammonia;10;pentafluorobenzoic acid;0.61;Agilent XCT;ESI;1.13177131;0.57;32.18706944;6.68;10.5;1
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O;80;MeCN;ammonia;10;2,4-dinitrophenol;0.84;Agilent XCT;ESI;1.275122179;0.57;32.18706944;6.68;10.5;1
CN(C)c1cccc(c1)C(O)=O;80;MeCN;ammonia;10;3-dimethylaminobenzoic acid;0.71;Agilent XCT;ESI;0.645432943;0.57;32.18706944;6.68;10.5;1
CC(C)c1ccc(cc1)C(O)=O;80;MeCN;ammonia;10;4-isopropylbenzoic acid;0.05;Agilent XCT;ESI;0.128500202;0.57;32.18706944;6.68;10.5;1
CC(C)(C)c1ccccc1O;80;MeCN;ammonia;10;2-tert-butylphenol;-0.46;Agilent XCT;ESI;-0.143709087;0.57;32.18706944;6.68;10.5;1
